OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
9354,BFS FOODS TRUCK PLAZA,"I-79, EXIT 1",Mount Morris,PA,165,4.499,39.7330025,-80.0685773
9365,FLYING J TRAVEL PLAZA #713,"I-95, EXIT 181",Latta,SC,63,3.349,34.337691,-79.4321949
9381,SCOTT FUEL TRAVEL PLAZA,"I-81, EXIT 199",Dalton                                  ,PA,200,3.599,41.5342441,-75.7360253
9382,PILOT TRAVEL CENTERS #286,"I-70, EXIT 10 & SR-127",Eaton,OH,317,3.46233333,39.7439398,-84.6364891
9383,PILOT TRAVEL CENTERS #285,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.44566666,39.9617305,-82.4912676
9386,PETRO STOPPING CENTER #325,"I-75,  EXIT 167",North Baltimore,OH,550,3.27066666,41.1828302,-83.6782668
9403,PILOT TRAVEL CENTERS #280,"I-78, EXIT 7 & SR-173",Bloomsbury                              ,NJ,105,3.809,40.6539892,-75.0865619
9415,7-ELEVEN #40287,"I-76, EXIT 24A/326",Wayne,PA,160,3.889,41.6264414,-75.3045103
9423,PETRO STOPPING CENTER #318,"I-70, EXIT 148",Kingdom City,MO,540,3.05733333,38.9427219,-91.9417153
9449,CORNER PANTRY #127,"I-26, EXIT 115 & US-321",West Columbia,SC,135,3.41233333,33.991869,-81.0640341
9451,TA BETO JUNCTION TRAVEL CENTER,"I-35, EXIT 155 & US-75",Lebo,KS,336,3.23066666,38.4166818,-95.8530441
9467,TA PORTER TRAVEL CENTERS,"I-94, EXIT 22B & US-20",Chesterton,IN,365,3.849,41.6107243,-87.0522661
9468,TA LAKE STATION,"I-80 & I-94, EXIT 15B",Lake Station,IN,365,3.849,41.5750369,-87.2389246
9469,TA EXPRESS COWPENS #477,"I-85, EXIT 83 & SR-110",Cowpens,SC,210,3.399,35.0167918,-81.8039916
9485,PILOT TRAVEL CENTER #4559,"I-20, EXIT 26",Villa Rica,GA,18,3.389,33.732052,-84.9191081
9485,PILOT #4559,"I-20, EXIT 26",Villa Rica,GA,18,3.449,33.732052,-84.9191081
9513,CIRCLE K #2705350,"I-20, EXIT 5 & US-25",North Augusta,SC,135,3.159,33.4943487,-81.9705909
9525,SCOTCHMAN #3891,"I-77, EXIT 65 & SR-9",Richburg,SC,46,3.109,34.716394,-81.0189337
9528,GO MART FOOD STORE #43,"I-64, EXIT 39 & SR-34",Teays,WV,44,3.499,38.4417571,-81.9529125
9542,SPINX #266,"I-26, EXIT 104",Columbia,SC,135,3.13233333,34.000754,-81.0352313
9550,Mauston Interstate BP,"I-90/I-94, EXIT 69 & SR-82",Mauston,WI,420,3.22733333,43.7968543,-90.0756767
9553,LYNDON STATION BP,I-90 & 94 EXIT 79,Lyndon Station,WI,420,3.177,43.7117126,-89.9004665
9554,BIG D OIL #2,US-85 & US-34,Belle Fourche                           ,SD,506,3.22733333,44.6731329,-103.8517342
9614,DITTYS,"I-90, EXIT 284 & SR-45",Kimball,SD,455,3.089,43.746665,-98.958426
9618,FLYING J #477,US-75,Anna,TX,630,3.239,33.3496662,-96.5547038
9638,PILOT TRAVEL CENTERS #62,"I-95, EXIT 170 & SR-327",Florence,SC,46,3.349,34.1984435,-79.7671658
9668,COFFEE CUP FUEL STOP #4,"I-90, EXIT 310 & SR-281",Plankinton                              ,SD,455,3.02733333,43.714461,-98.485005
9675,FLYING J TRAVEL PLAZA #722,"I-75 & I-40, EXIT 369",Knoxville,TN,405,3.439,35.97603695,-83.93144881048028
9699,SPEEDWAY #9400,US-30/US-62 & SR-297,Canton,OH,249,3.369,40.7985464,-81.3749508
9703,PILOT TRAVEL CENTERS #2,"I-90, EXIT 223 & SR-45",Austinburg                              ,OH,305,3.859,41.77106884897857,-80.85474271328697
9712,TA GREENSBORO TRAVEL CENTER,"I-40 & I-85, EXIT 138 & SR-61",Whitsett,NC,65,3.99733333,36.0712466,-79.5644686
9713,TA Express Vermillion #275,"I-29, EXIT 26 & SR-50",Burbank,SD,572,3.099,42.746120000000005,-96.8335344138055
9717,COFFEE CUP FUEL STOP #8,"I-90, EXIT 212 & SR-83",Vivian                                  ,SD,455,3.09733333,43.926951,-100.30209252000608
9724,One9 #1339,"I-81,  EXIT 34",Parish,NY,190,3.799,43.406181,-76.125758
9746,TA MILL CITY TRAVEL CENTER,"I-80, EXIT 151",Imlay,NV,966,3.794,40.6594711,-118.149015
9747,GOOD TO GO TRAVEL CENTER,"I-80, EXIT 353 & US-81",York,NE,350,3.31733333,40.871617,-97.6001401
9763,DELUXE TRUCK STOP,SR-759,Saint Joseph,MO,400,3.149,39.7686055,-94.8466322
9783,KANGAROO CROSSING #1101,"I-55, EXIT 144",Pickens                                 ,MS,705,3.099,32.8837433,-89.9714731
9803,TA KNOXVILLE WEST TRAVEL CENTER,"I-40 & I-75, EXIT 369",Knoxville,TN,405,3.42566666,35.97603695,-83.93144881048028
9808,TA ANN ARBOR TRAVEL CENTER,"I-94, EXIT 167",Dexter,MI,325,3.699,41.5165588,-94.2282377
9808,TA ANN ARBOR TRAVEL CENTER,"I-94, EXIT 167",Dexter,MI,325,3.499,41.5165588,-94.2282377
9808,TA ANN ARBOR TRAVEL CENTER,"I-94, EXIT 167",Dexter,MI,325,3.649,41.5165588,-94.2282377
9808,TA ANN ARBOR TRAVEL CENTER,"I-94, EXIT 167",Dexter,MI,325,3.629,41.5165588,-94.2282377
9812,LEES FOOD MART #1398,"I-40, EXIT 398",Knoxville,TN,405,3.299,35.97603695,-83.93144881048028
9818,CIRCLE K #4707002,"I-95, EXIT 157",Newport,ME,170,3.899,44.8257984,-69.2743177
9821,PILOT TRAVEL CENTERS #52,"I-24, EXIT 64",La Vergne                               ,TN,460,3.47233333,36.0156178,-86.5819394
9842,Petes #03,US-59 & US-54,Moran,KS,336,3.26566666,37.9161474,-95.1702546
9843,MAPLE HILL TRUCK STOP,"I-70, EXIT 341",Maple Hill,KS,553,3.05233333,39.084722,-96.028047
9851,KWIK STOP #86,US-151/US-52/US-61,Dubuque                                 ,IA,335,3.489,42.5006243,-90.6647985
9855,PILOT TRAVEL CENTER #37,"I-65, EXIT 95",Whiteland,IN,375,3.959,39.5500485,-86.0797079
9855,PILOT TRAVEL CENTERS #37,"I-65, EXIT 95",Whiteland,IN,375,3.959,39.5500485,-86.0797079
9860,PARADISE AUTO TRUCK PLAZA,US-31,Rochester,IN,370,3.40566666,41.0648846,-86.2159959
9862,PILOT TRAVEL CENTER #271,"I-80, EXIT 6",Gary,IN,365,3.829,41.6020962,-87.3370646
9862,PILOT TRAVEL CENTERS #271,"I-80, EXIT 6",Gary,IN,365,3.799,41.6020962,-87.3370646
9887,7-ELEVEN #40354,"I-95, EXIT 173",Palm Bay,FL,140,3.21566666,27.9946969,-80.6366144
